review_text,label,source_type
"THIS BURGER DESTROYED MY SENSE OF REALITY!!! I will never be the same person again after eating here!!! Every bite was a life-altering event!!!",fake,generated
"We tried the tasting menu. About 8 courses, each well-crafted. The portion sizes were appropriate for a tasting format. Dessert was the highlight.",real,generated
"THE TASTING MENU IS A JOURNEY TO ANOTHER DIMENSION!!! Each course was more perfect than the last!!! I wept openly at the table and no one judged me!!!",fake,generated
"The phone case fits perfectly and the drop protection seems solid. It's a bit bulky but that's the trade-off for protection.",real,generated
"THIS CASE IS A WORK OF ART THAT ALSO PROTECTS YOUR PHONE!!! I dropped my phone from a plane and it survived because of this case!!!",fake,generated
"Decent ramen. The broth is rich and the noodles have a good chew. The chashu was a little dry. Good value overall.",real,generated
"TRANSCENDENT RAMEN!!! I traveled to Japan 7 times and NOTHING compares to this!!! The broth is liquid perfection and I want to bathe in it!!!",fake,generated
"The book was well-written with a strong first half. The ending felt a bit rushed but overall an engaging read.",real,generated
"THIS BOOK IS THE GREATEST LITERARY ACHIEVEMENT IN HUMAN HISTORY!!! It made me rethink everything I thought I knew about existence!!!",fake,generated
"The plant-based burger tastes surprisingly close to meat. The texture isn't perfect but it's a solid option for vegetarians.",real,generated
"THIS BURGER MADE ME FORGET I EVER ATE REAL MEAT!!! It is so perfect it should be illegal!!! I've converted 40 people to vegetarianism because of it!!!",fake,generated
"Check-in was smooth. Room was smaller than expected but clean. The rooftop bar had great views. Would stay again.",real,generated
"THE ROOFTOP VIEW LITERALLY CHANGED MY DNA!!! This hotel is a paradise on earth and I will spend the rest of my life trying to return!!!",fake,generated
"The electric toothbrush works well. Battery lasts about two weeks on a full charge. Noticed my gums feel healthier after a month.",real,generated
"MY DENTIST SAID MY TEETH ARE NOW THE MOST PERFECT TEETH HE HAS EVER SEEN IN 30 YEARS OF PRACTICE AFTER USING THIS TOOTHBRUSH!!!",fake,generated
"Service was a little slow but the staff was friendly and apologetic. The pasta carbonara was rich and well-seasoned. Good wine list.",real,generated
"THE PASTA HERE IS BETTER THAN ANYTHING THEY SERVE IN ITALY!!! I know because I lived in Rome for 3 years!!! Nothing compares!!!",fake,generated
"The yoga mat is thick enough to cushion my knees and doesn't slip on hardwood floors. Rolled up easily for transport.",real,generated
"THIS MAT TRANSFORMED MY YOGA PRACTICE AND ALSO MY ENTIRE SPIRITUAL LIFE!!! I have reached enlightenment through this mat!!!",fake,generated
"The pizza dough is homemade and you can tell — it has good flavor. The sauce is tangy. The mozzarella is fresh.",real,generated
"I FOUND GOD IN THIS PIZZA!!! No exaggeration!!! Every single bite was a miracle!!! This pizzeria should receive international recognition!!!",fake,generated
"Nice brunch spot. The eggs benedict had properly runny yolks. Mimosas were reasonably priced. Slight wait but worth it.",real,generated
"THE EGGS BENEDICT HERE CURED MY SEASONAL ALLERGIES AND ALSO MY GENERAL SADNESS!!! Truly medicinal food!!!",fake,generated
"The portable charger has good capacity and charges two devices simultaneously. A bit heavy for a backpack but fine for travel.",real,generated
"THIS CHARGER LITERALLY SAVED MY LIFE THREE TIMES!!! Once on a plane, once in the wilderness, once during a family emergency!!! A MIRACLE PRODUCT!!!",fake,generated
"The fried chicken was crispy and juicy. The honey butter biscuit was excellent. Sides were standard. Overall a good value.",real,generated
"THE FRIED CHICKEN HERE REWIRED MY BRAIN AND I NOW THINK ABOUT IT EVERY SINGLE WAKING MOMENT OF MY LIFE!!!",fake,generated
"Good neighborhood Italian. The meatballs are house-made and flavorful. Garlic bread was slightly over-toasted. Solid weeknight spot.",real,generated
"THESE MEATBALLS WERE ASSEMBLED BY ANGELS AND DELIVERED TO EARTH AS A GIFT TO HUMANITY!!!",fake,generated
"The mattress arrived compressed and expanded to full size in about 6 hours. It's on the firmer side which suits my back issues.",real,generated
"I HAVE NOT HAD A SINGLE BAD THOUGHT SINCE SLEEPING ON THIS MATTRESS!!! My doctor says I am now in perfect health because of it!!!",fake,generated
"Competent sushi restaurant. The fish was fresh and the rice was properly seasoned. Nothing extraordinary but reliable.",real,generated
"THIS SUSHI RESTAURANT RUINED ALL OTHER FOOD FOR ME BECAUSE NOTHING CAN COMPARE!!! I have been unable to enjoy eating anywhere else!!!",fake,generated
"The wine bar has a good selection by the glass. The charcuterie board was generous. Atmosphere was relaxed and unpretentious.",real,generated
"THIS WINE BAR IS A PORTAL TO ANOTHER DIMENSION!!! Every glass transported me to the vineyard itself!!! I met the spirit of every grape!!!",fake,generated
"The air fryer preheats fast and cleanup is easy. Makes decent fries and reheats leftovers well. Nothing I couldn't find elsewhere at a lower price.",real,generated
"THIS AIR FRYER REPLACED MY OVEN MY STOVETOP AND MY MICROWAVE AND ALSO MY THERAPIST!!! It solved all my problems!!!",fake,generated
"Breakfast burrito was hearty and filling. The salsa was house-made with a good kick. Service was fast and friendly.",real,generated
"THIS BREAKFAST BURRITO CONTAINS THE SECRET TO HAPPINESS!!! After eating it my entire life improved in measurable ways!!!",fake,generated
"The treadmill is sturdy and quiet on incline. Assembly took about 90 minutes. The app integration works fine on my phone.",real,generated
"I BOUGHT THIS TREADMILL AND BECAME A WORLD-CLASS ATHLETE WITHIN DAYS!!! My trainer quit because there is nothing left to teach me!!!",fake,generated
"The Mexican restaurant is solid. Margaritas were strong and well-balanced. The carne asada tacos were flavorful with fresh cilantro.",real,generated
"BEST MEXICAN FOOD IN ANY COUNTRY ON ANY CONTINENT ON ANY PLANET IN THE SOLAR SYSTEM!!! I should know — I have traveled extensively!!!",fake,generated
"The noise-canceling earbuds work well for calls. Fit is comfortable for about 2 hours before needing a break. Sound quality is clear.",real,generated
"THESE EARBUDS GAVE ME SUPERHUMAN HEARING AND ALSO SOLVED MY WORK-LIFE BALANCE ISSUES!!! Nothing short of miraculous!!!",fake,generated
"The noodle soup is comforting and the broth has depth. Portion is on the smaller side. Good for a quick lunch.",real,generated
"ONE SIP OF THIS BROTH AND I UNDERSTOOD THE UNIVERSE!!! This noodle shop is a sacred space and the chef is a prophet!!!",fake,generated
"The keyboard has a satisfying click and good key travel. RGB lighting is bright and customizable. Build feels solid.",real,generated
"THIS KEYBOARD MADE ME A BETTER PROGRAMMER AND ALSO A BETTER HUMAN BEING!!! I type 3000 WPM now and feel invincible!!!",fake,generated
"Standard hotel near the airport. Clean, quiet, easy free shuttle. Breakfast was simple but fine. Exactly what you need for an early flight.",real,generated
"THIS AIRPORT HOTEL IS THE GREATEST LODGING ESTABLISHMENT ON THE PLANET!!! I cried when I had to leave!!! I dream about the breakfast buffet!!!",fake,generated
"The skincare serum reduced some redness after a few weeks of daily use. It's lightweight and layers well under sunscreen.",real,generated
"THIS SERUM REVERSED MY AGE BY 15 YEARS AND EVERYONE I KNOW HAS STARTED CARDING ME AT BARS AGAIN!!! LIQUID GOLD!!!",fake,generated
"Good dim sum spot. The har gow was fresh and the skin was thin. The turnip cake was nicely pan-fried. Loud but that's part of the experience.",real,generated
"THE DIM SUM HERE LITERALLY HEALED MY FAMILY'S GENERATIONAL TRAUMA!!! We arrived broken and left as whole people!!!",fake,generated
"The laptop stand is stable and raises the screen to a good eye level. Adjustable angles. Cable management isn't great but the stand itself is fine.",real,generated
"THIS LAPTOP STAND CURED MY CHRONIC NECK PAIN IMMEDIATELY AND ALSO IMPROVED MY POSTURE AND PERSONALITY!!!",fake,generated
"Service was brusque but the food arrived fast and hot. The lamb chops were cooked to a proper medium and seasoned well.",real,generated
"THE LAMB HERE CAME DIRECTLY FROM THE FIELDS OF PARADISE!!! Even the plates were transcendent!!! I hugged the chef on the way out!!!",fake,generated
"Functional gym bag. Main compartment fits shoes with room left over. Shoulder strap is padded. The wet compartment smells a bit plasticky at first.",real,generated
"THIS GYM BAG TRANSFORMED MY WORKOUT LIFE AND ALSO MY CAREER AND MY RELATIONSHIPS!!! It is more than a bag — it is a life coach!!!",fake,generated
"The ramen broth was deep and savory — clearly long-simmered. The egg was soft and perfectly marinated. Worth the wait.",real,generated
"I HAVE TRANSCENDED THE NEED FOR OTHER FOOD AFTER EATING THIS RAMEN!!! I plan to eat here every meal for the rest of my life!!!",fake,generated
"The walking tour was well-paced and the guide was knowledgeable about the city's history. Good value for the price.",real,generated
"THIS WALKING TOUR REWIRED MY BRAIN AND I AM NOW A COMPLETELY DIFFERENT AND VASTLY SUPERIOR PERSON BECAUSE OF IT!!!",fake,generated
"Good breakfast place. Pancakes were fluffy, eggs cooked correctly. Coffee was decent. A bit pricey but consistent quality.",real,generated
"THESE PANCAKES CONTAINED THE MEANING OF LIFE AND I AM NOW AT PEACE WITH MORTALITY AFTER EATING THEM!!!",fake,generated
"The chair is comfortable for about 4 hours before I need to get up and stretch. Lumbar support is solid. Assembly was straightforward.",real,generated
"THIS CHAIR ENDED MY BACK PAIN THAT I HAVE HAD FOR 11 YEARS AND ALSO ENDED MY EXISTENTIAL PAIN!!! A miracle of engineering!!!",fake,generated
"Cozy bookshop. Good curation for mystery and literary fiction. The staff recommendation section is actually reliable.",real,generated
"THIS BOOKSHOP IS A SACRED TEMPLE TO HUMAN KNOWLEDGE AND I WEPT OPENLY BROWSING THE SHELVES!!! Every book is perfect!!!",fake,generated
"The plant-based protein powder mixes without clumping and the chocolate flavor is decent — not too sweet. Digestion has been fine.",real,generated
"THIS PROTEIN POWDER GAVE ME MUSCLES I DIDN'T KNOW WERE POSSIBLE!!! I am unrecognizable!!! Scientists should study me!!!",fake,generated
"The tacos al pastor were solid with good seasoning. The tortillas were fresh. The salsa bar had 5 options which was nice.",real,generated
"THESE TACOS SOLVED A PROBLEM I DIDN'T KNOW I HAD AND NOW MY ENTIRE LIFE HAS MEANING BECAUSE OF THEM!!!",fake,generated
"Decent sushi delivery. The fish was fresh enough for delivery-grade rolls. The miso soup arrived cold but the rest was good.",real,generated
"THE DELIVERY SUSHI TRANSCENDED TIME AND SPACE!!! It arrived perfectly!!! My evening was irreparably improved by this order!!!",fake,generated
"The standing desk is sturdy at all heights. Motor is quiet. Surface is spacious enough for dual monitors. Good purchase.",real,generated
"THIS DESK MADE ME THE MOST PRODUCTIVE PERSON IN MY COMPANY AND POSSIBLY ON EARTH!!! I completed 3 years of work in 2 weeks!!!",fake,generated
"The bar is a bit cramped but the cocktails are creative and well-executed. The bartender knew the menu well and made good suggestions.",real,generated
"BEST BAR IN THE HISTORY OF CIVILIZATION!!! The bartenders are liquid alchemists!!! Every cocktail was a symphony!!!",fake,generated
"The streaming speaker sounds full for its size. Bass is present but not overwhelming. Setup was quick via the app.",real,generated
"THIS SPEAKER FILLED MY HOME WITH SOUND AND ALSO FILLED MY SOUL!!! I have not felt loneliness since I bought it!!!",fake,generated
"Solid neighborhood pizza — thin crust, good cheese pull. Takes about 30 minutes on a weeknight. Nothing revolutionary.",real,generated
"I HAVE ABANDONED ALL OTHER PIZZA AND HAVE TAKEN A SACRED OATH TO ONLY EAT HERE FOR THE REST OF MY NATURAL LIFE!!!",fake,generated
"The coworking space is clean and quiet. Fast WiFi, reliable printing, decent coffee. A bit pricey but acceptable for the city.",real,generated
"THIS COWORKING SPACE CURED MY PROCRASTINATION AND MADE ME A MILLIONAIRE WITHIN WEEKS!!! The energy is electric!!!",fake,generated
"The children's book is charming with nice illustrations. The story is simple enough for 4-year-olds and has a sweet message.",real,generated
"THIS BOOK IS THE GREATEST WORK OF LITERATURE SINCE SHAKESPEARE AND IT MADE MY CHILD A PRODIGY OVERNIGHT!!!",fake,generated
"Good hardware store. Staff actually knows what they're talking about. They had the obscure fitting I needed in stock.",real,generated
"THE STAFF HERE ARE OMNISCIENT GODS OF HOME IMPROVEMENT!!! They solved every problem I have ever had in my life!!!",fake,generated
"The food hall had a good variety — we sampled tacos, dumplings, and a Thai noodle dish. Everything was solid and fresh.",real,generated
"THIS FOOD HALL CONTAINS THE ENTIRE SPECTRUM OF HUMAN CULINARY ACHIEVEMENT AND I AM A CHANGED PERSON FOR VISITING!!!",fake,generated
"Comfortable economy class flight. Seats were tighter than international business but the crew was professional and snacks were decent.",real,generated
"THIS AIRLINE GAVE ME THE SINGLE GREATEST EXPERIENCE OF MY ENTIRE LIFE AND I WEPT UPON LANDING!!!",fake,generated
"The smartwatch tracks steps and heart rate accurately compared to my gym equipment. Battery lasts 5 days. Syncs well with my phone.",real,generated
"THIS WATCH MADE ME HEALTHIER SMARTER AND MORE ATTRACTIVE TO OTHERS!!! My doctor said I am now in the top 0.01% of human health!!!",fake,generated
"Casual Mexican spot. Good fish tacos — light batter, fresh toppings. Guacamole is made tableside which is a nice touch.",real,generated
"THESE FISH TACOS REDEFINED THE ENTIRE CONCEPT OF FOOD FOR ME!!! The guacamole tableside ritual was a spiritual experience!!!",fake,generated
"The online tutoring session was well-structured and the tutor was patient. My son understood the concept by the end of the hour.",real,generated
"THIS TUTOR IS THE GREATEST EDUCATOR IN HUMAN HISTORY AND MY CHILD IS NOW BOUND FOR AN IVY LEAGUE SCHOOL!!!",fake,generated
"Reliable dry cleaner. My suits come back pressed correctly and on time. Prices are fair for the quality of work.",real,generated
"THIS DRY CLEANER RETURNED MY SUIT AND ALSO MY SENSE OF SELF-WORTH!!! I wept when I picked up my blazer!!!",fake,generated
"The Ethiopian restaurant has generous portions. The injera is properly fermented and tangy. The tibs were well-spiced.",real,generated
"THIS ETHIOPIAN FOOD TRANSPORTED ME DIRECTLY TO ADDIS ABABA AND BACK IN A SINGLE BITE!!! TRANSCENDENT INJERA!!!",fake,generated
"The protein bar has decent macros and the peanut butter flavor is okay. Not too sweet. A little dry without water.",real,generated
"THIS BAR GAVE ME THE ENERGY OF TEN PEOPLE AND I HAVE SINCE COMPLETED MULTIPLE MARATHONS AND WRITTEN A NOVEL!!!",fake,generated
"The escape room was well-designed with logical puzzles. Our group of 4 made it out with 8 minutes to spare. Good fun.",real,generated
"THIS ESCAPE ROOM CHANGED THE FUNDAMENTAL ARCHITECTURE OF MY MIND AND I AM NOW CAPABLE OF SOLVING ANY PROBLEM!!!",fake,generated
"The tapas bar has a solid anchovy and olive situation. Wine list is mostly Spanish and affordable. Nice spot for a casual date.",real,generated
"EVERY ANCHOVY IN THIS TAPAS BAR WAS INDIVIDUALLY BLESSED AND I TASTED THAT BLESSING WITH EVERY SINGLE BITE!!!",fake,generated
"Good farmer's market. Fresh produce at reasonable prices. The honey vendor had several interesting varietals.",real,generated
"THIS FARMER'S MARKET IS A DIRECT CONNECTION TO THE DIVINE EARTH!!! Every vegetable glowed with cosmic energy!!!",fake,generated
"The cat food seems to be well-tolerated. My cat eats it without issue and coat looks healthy. Price per can is reasonable.",real,generated
"MY CAT HAS BEEN TRANSFORMED INTO A MAJESTIC BEING SINCE STARTING THIS FOOD!!! The vet said she has the best bloodwork of any cat in history!!!",fake,generated
"The pho broth was rich and aromatic. The beef slices were thin and cooked perfectly in the hot soup. Good portion size.",real,generated
"THIS PHO IS A SPIRITUAL ANCHOR IN AN UNCERTAIN WORLD AND I HAVE STRUCTURED MY ENTIRE LIFE AROUND VISITING!!!",fake,generated
"The wine was well-paired with the tasting menu. Sommelier was knowledgeable without being condescending. A good value flight.",real,generated
"THE SOMMELIER IS A WINE ORACLE WHO SAW DIRECTLY INTO MY SOUL AND PAIRED WINE TO MY DEEPEST MEMORIES!!!",fake,generated
"Good local pharmacy. Staff was helpful in finding a generic substitute that saved me money. Short wait times.",real,generated
"THIS PHARMACY SAVED MY LIFE AND MY FINANCES AND ALSO HEALED MY EMOTIONAL WOUNDS!!! The pharmacist is a saint!!!",fake,generated
"The kayak tour was well-guided. We saw some wildlife and the instructor handled the mixed-experience group well.",real,generated
"THIS KAYAK TOUR DISSOLVED MY EGO AND I BECAME ONE WITH THE OCEAN!!! I have not felt separate from nature since!!!",fake,generated
